y,x,class
6.966460063664862e-45,6.966460063664862e-45,no_correction
3.8048240588641867e-47,3.8048240588645125e-47,no_correction
4.040987728524207e-45,4.040987728524207e-45,no_correction
2.323513538626885e-37,2.323513538626885e-37,no_correction
3.994195793243687e-50,3.9941957932438584e-50,no_correction
4.791684101878583e-47,4.791684101878583e-47,no_correction
2.4067983933947015e-42,2.4067983933942886e-42,no_correction
7.011403804766087e-39,7.011403804765584e-39,no_correction
2.962943935983045e-45,2.962943935983045e-45,no_correction
1.491600622135183e-39,1.4916006221350978e-39,no_correction
4.7141514012946506e-42,4.714151401294314e-42,no_correction
4.900284640355595e-50,4.900284640355384e-50,no_correction
1.2218027480060754e-42,1.2218027480060754e-42,no_correction
1.0905886725794798e-38,1.0905886725795889e-38,no_correction
3.528663147889076e-42,3.528663147889681e-42,no_correction
6.300419700232415e-44,6.300419700233225e-44,no_correction
3.662240217556536e-46,3.662240217556224e-46,no_correction
4.47882840688006e-48,4.4788284068806345e-48,no_correction
5.077771716171261e-38,5.077771716171407e-38,no_correction
5.696066321681832e-47,5.696066321681995e-47,no_correction
1.7122125476679968e-45,1.7122125476678503e-45,no_correction
6.154070020508107e-45,6.154070020507054e-45,no_correction
1.7221805260461717e-43,1.7221805260462456e-43,no_correction
5.7814518677084814e-46,5.781451867708069e-46,no_correction
7.023685412880131e-50,7.023685412879527e-50,no_correction
6.464855774935173e-43,6.4648557749348975e-43,no_correction
1.4701759873094796e-44,1.47017598730992e-44,no_correction
2.1526309965561316e-47,2.1526309965561316e-47,no_correction
1.3474453376581948e-46,1.3474453376581373e-46,no_correction
1.7809440441896426e-41,1.7809440441897188e-41,no_correction
2.757618678708699e-44,2.7576186787085815e-44,no_correction
8.833293759254799e-41,8.833293759254546e-41,no_correction
5.205217971672428e-41,5.205217971672279e-41,no_correction
3.054440595643613e-42,3.0544405956435254e-42,no_correction
5.199170617175012e-42,5.1991706171755326e-42,no_correction
7.287497266737461e-41,7.287497266737461e-41,no_correction
3.3247069646036508e-40,3.324706964603318e-40,no_correction
1.1898787903622936e-46,1.1898787903622936e-46,no_correction
2.9399437560187017e-49,2.939943756018577e-49,no_correction
8.439970614356077e-43,8.439970614356077e-43,no_correction
7.485693171345215e-36,7.48569317134618e-36,no_correction
9.273242422917964e-48,9.273242422917964e-48,no_correction
1.3276802357061103e-46,1.3276802357060536e-46,no_correction
4.901473731508992e-45,4.901473731508432e-45,no_correction
1.1357916131338049e-41,1.1357916131338049e-41,no_correction
6.061973933178606e-46,6.061973933178348e-46,no_correction
1.9735583190518522e-48,1.9735583190519363e-48,no_correction
8.086808826900692e-44,8.086808826900347e-44,no_correction
1.2272615631387976e-42,1.22726156313871e-42,no_correction
3.936844583729986e-40,3.936844583729986e-40,no_correction
4.1007166132450607e-45,4.100716613244652e-45,no_correction
4.616466744812237e-40,4.616466744812237e-40,no_correction
8.155265558871475e-48,8.155265558872871e-48,no_correction
2.568728706123483e-47,2.568728706123483e-47,no_correction
1.0293858930993915e-41,1.0293858930993915e-41,no_correction
1.252162401048558e-44,1.2521624010485042e-44,no_correction
8.223609284995394e-43,8.223609284995042e-43,no_correction
1.3166108291642123e-44,1.3166108291642685e-44,no_correction
4.073977643733856e-43,4.073977643733682e-43,no_correction
6.956563107139861e-44,6.956563107139266e-44,no_correction
2.2416432675329033e-40,2.241643267532967e-40,no_correction
3.01424132013139e-43,3.0142413201315186e-43,no_correction
6.209094503934039e-48,6.209094503933774e-48,no_correction
4.811975993286767e-44,4.811975993286287e-44,no_correction
2.3789673778244336e-49,2.3789673778244336e-49,no_correction
1.1481385251293514e-45,1.1481385251293514e-45,no_correction
5.4588382651001944e-42,5.4588382650998044e-42,no_correction
1.5865326932853939e-49,1.5865326932853939e-49,no_correction
2.10593642075328e-38,2.1059364207531292e-38,no_correction
2.106759984649391e-42,2.106759984649602e-42,no_correction
5.118721075139466e-38,5.1187210751391e-38,no_correction
8.141037736945095e-46,8.14103773694579e-46,no_correction
2.9862847180674785e-49,2.9862847180672225e-49,no_correction
8.535498481202621e-39,8.535498481202012e-39,no_correction
3.274908021290685e-42,3.2749080212910126e-42,no_correction
1.7631514116606898e-41,1.763151411660589e-41,no_correction
3.9797069152475634e-46,3.979706915247393e-46,no_correction
1.8315333949003376e-39,1.831533394900338e-39,no_correction
8.415621960148722e-41,8.415621960150405e-41,no_correction
1.8782850006801047e-42,1.8782850006802927e-42,no_correction
1.8471912122197341e-47,1.8471912122197341e-47,no_correction
